feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,target_GDP,target_country_code,target_year,target_quarter,sample_id
0.5553443,0.55504423,0.36226484,0.37829408,0.6842388,0.54068315,0.6224498,0.4867537,0.0003490648,0.0011537971,0.4358418,0.6022918,0.61387736,0.43549523,0.62210274,0.5226866,0.47441778,0.23198582,0.05484764,0.17704011,0.28870377,0.08968625,0.028617218,0.0,2019.0,4.0,5.8,0.0,2019.0,4.0,27
0.56987107,0.41178814,0.32478195,0.383421,0.6871487,0.55629325,0.5534958,0.48618522,0.0013699703,0.0064323386,0.42743114,0.51008123,0.6018119,0.42708403,0.5482106,0.55333316,0.44349536,0.12319971,0.22576173,0.0093361,0.48755404,0.12958927,0.05055607,1.0,2013.0,1.0,1.7009,1.0,2013.0,1.0,28
0.5566345,0.405805,0.3541743,0.38144594,0.68699884,0.5745183,0.56887245,0.48602107,0.001826627,0.008283282,0.42979327,0.50939244,0.58474606,0.4294463,0.5513165,0.5426343,0.4442209,0.11189725,0.21745148,0.0093361,0.23567651,0.064508356,0.043109536,1.0,2013.0,2.0,1.5202,1.0,2013.0,2.0,29
0.56332445,0.42064983,0.35632977,0.3226237,0.6865864,0.5813919,0.5921287,0.48608482,0.0010959762,0.007563475,0.43200883,0.5350863,0.5810603,0.431662,0.57222325,0.5585271,0.44488895,0.11754848,0.20498611,0.0093361,0.25769237,0.06950365,0.045562353,1.0,2013.0,3.0,2.237,1.0,2013.0,3.0,30
0.5860703,0.42708716,0.3961922,0.37843573,0.6870118,0.59318113,0.5968605,0.4851774,4.2867387e-07,0.008892364,0.42380965,0.63803077,0.705579,0.4234623,0.57690525,0.5715771,0.4398517,0.103420414,0.19252074,0.0093361,0.5595742,0.14794727,0.05302415,1.0,2013.0,4.0,3.0086,1.0,2013.0,4.0,31
0.5716391,0.4241733,0.36551473,0.37181503,0.6861247,0.58411133,0.6180006,0.4857644,0.001972757,0.011180587,0.4285348,0.625742,0.6630508,0.42818776,0.6155201,0.58293843,0.43215266,0.11048445,0.18144043,0.0093361,0.5794131,0.15356383,0.059610132,1.0,2014.0,1.0,1.651,1.0,2014.0,1.0,32
0.5960575,0.45743564,0.35981816,0.37156826,0.686055,0.61693764,0.64868253,0.48627454,0.00087678095,0.005421697,0.43224576,0.8289372,0.7477434,0.43189895,0.6397645,0.56091464,0.45252427,0.13874058,0.16204984,0.0093361,0.22544654,0.061152942,0.040836394,1.0,2014.0,2.0,2.6889,1.0,2014.0,2.0,33
0.5901321,0.4631633,0.34041557,0.3825409,0.68588346,0.60078806,0.6395816,0.4861724,0.0028182245,0.006635676,0.42161474,0.6488008,0.73172975,0.42126724,0.62928796,0.5587027,0.45171812,0.12743813,0.15650968,0.0093361,0.2862151,0.075788274,0.04610601,1.0,2014.0,3.0,3.0593,1.0,2014.0,3.0,34
0.5477464,0.45975423,0.3128005,0.38238576,0.68408954,0.554682,0.6420695,0.48600495,0.0065758573,0.008532525,0.419612,0.5365626,0.6838732,0.41926438,0.62539405,0.63322127,0.44913098,0.10483322,0.14127421,0.0093361,0.5450914,0.14611962,0.057812992,1.0,2014.0,4.0,2.6859,1.0,2014.0,4.0,35
0.49804953,0.39458016,0.29997516,0.37844676,0.68520355,0.49197277,0.55750424,0.4858651,0.0019484021,0.010043719,0.42067927,0.61052173,0.71922535,0.42033172,0.54700536,0.700432,0.4384281,0.048320957,0.134349,0.0093361,0.5947315,0.1573081,0.05531636,1.0,2015.0,1.0,3.969,1.0,2015.0,1.0,36
0.4685659,0.29662445,0.27950728,0.37573794,0.68550086,0.47339684,0.5359467,0.48607305,0.0041099107,0.0077571142,0.4212135,0.41725978,0.5978715,0.42086598,0.51872796,0.7183633,0.43288463,0.04973376,0.13019387,0.0093361,0.1922728,0.053770285,0.040448416,1.0,2015.0,2.0,3.2789,1.0,2015.0,2.0,37
0.44500768,0.27923226,0.24983788,0.37897545,0.6853488,0.4607388,0.53357846,0.48549834,0.0010959762,0.014073149,0.42358446,0.3266453,0.53501946,0.4232371,0.51872796,0.7567956,0.43383938,0.056797795,0.116343476,0.0093361,0.25663128,0.07448957,0.045154262,1.0,2015.0,3.0,2.4475,1.0,2015.0,3.0,38
0.428904,0.2122398,0.23507148,0.37979406,0.686076,0.4365688,0.48444155,0.48612598,0.0010350887,0.0071015456,0.4285045,0.29673192,0.4788668,0.42815745,0.48706657,0.7113028,0.42901784,0.07092586,0.11357338,0.012793914,0.50571215,0.13632973,0.06893484,1.0,2015.0,4.0,2.12,1.0,2015.0,4.0,39
0.4466802,0.22741027,0.19983721,0.3813861,0.6856487,0.47970966,0.5369162,0.4862351,0.0017124629,0.005895328,0.42629108,0.29895627,0.49951032,0.42594388,0.50282776,0.6547605,0.4350741,0.097769186,0.108033225,0.019709544,0.50916886,0.14490259,0.05955332,1.0,2016.0,1.0,1.7952,1.0,2016.0,1.0,40
0.47625938,0.2632301,0.22424902,0.3841374,0.68609256,0.49317774,0.53535306,0.4861604,0.0010959762,0.0067190323,0.42287242,0.43562007,0.6114803,0.422525,0.5239199,0.6067773,0.4304818,0.094943576,0.10941825,0.019709544,0.2196017,0.06469269,0.040157333,1.0,2016.0,2.0,1.4934,1.0,2016.0,2.0,41
0.5294924,0.27020726,0.26609161,0.36690214,0.6864068,0.5388656,0.5622708,0.48632437,0.001278639,0.0048935623,0.42807248,0.60319823,0.6573315,0.4277254,0.55229,0.57209927,0.43037444,0.099181995,0.108033225,0.019709544,0.27034143,0.073855,0.23249812,1.0,2016.0,3.0,1.8057,1.0,2016.0,3.0,42
0.55744684,0.3161877,0.26580194,0.37813935,0.686443,0.60402375,0.6228325,0.48584265,0.001031507,0.010246095,0.42820996,0.52381086,0.61283267,0.42786288,0.595077,0.5994406,0.44035092,0.12743813,0.10249308,0.023167359,0.5229535,0.13876599,0.058842197,1.0,2016.0,4.0,2.1819,1.0,2016.0,4.0,43
0.63743967,0.34232518,0.34021246,0.37978333,0.68709844,0.6771497,0.6658976,0.48609352,0.00043839047,0.007414113,0.43085083,0.5520267,0.59925556,0.43050393,0.6657705,0.5805542,0.45330957,0.15851988,0.09418283,0.033540804,0.57797724,0.15271276,0.05289803,1.0,2017.0,1.0,2.0872,1.0,2017.0,1.0,44
0.6131169,0.4054291,0.32015032,0.0,0.6857875,0.6449399,0.6827526,0.48545307,0.0016804968,0.014646849,0.4339076,0.6067451,0.59401584,0.43356088,0.66229373,0.5807931,0.44471958,0.13167655,0.085872576,0.043914247,0.2510006,0.066377416,0.050010655,1.0,2017.0,2.0,2.3302,1.0,2017.0,2.0,45
0.5981123,0.3835361,0.31861466,0.3814464,0.6866067,0.67646194,0.67769223,0.4962625,1.0,0.0054254695,0.43385532,0.6839775,0.6381714,0.43350863,0.6456054,0.5156251,0.44448233,0.13308935,0.08448751,0.050829876,0.32432154,0.08567653,0.0537982,1.0,2017.0,3.0,2.4112,1.0,2017.0,3.0,46
0.6524443,0.43607196,0.34896228,0.3802334,0.68601084,0.69986975,0.7265924,0.48614183,0.00041099108,0.0068817977,0.43416503,0.86044437,0.7269923,0.43381834,0.6913128,0.4791283,0.45583105,0.1401534,0.07756233,0.05428769,0.60003865,0.15844779,0.06334485,1.0,2017.0,4.0,2.9941,1.0,2017.0,4.0,47
0.63132316,0.45386147,0.34549594,0.3810813,0.6855264,0.6580967,0.7028899,0.486312,0.00065758574,0.0049959333,0.43273482,0.729704,0.675741,0.43238804,0.6812535,0.42800683,0.44593984,0.14580461,0.07202214,0.06466114,0.57614815,0.1521514,0.059890136,1.0,2018.0,1.0,3.3292,1.0,2018.0,1.0,48
0.65268326,0.44460937,0.3354647,0.38307267,0.6864984,0.69126433,0.6988678,0.48572472,0.00033355798,0.011503115,0.4268429,0.5606897,0.6463307,0.42649573,0.67137957,0.49258348,0.4553093,0.16699672,0.06786701,0.07503458,0.25635222,0.014749635,0.03173334,1.0,2018.0,2.0,3.2993,1.0,2018.0,2.0,49
0.6192334,0.48746967,0.35173658,0.38428113,0.6844484,0.61581856,0.7005608,0.48533297,3.054388e-05,0.008170293,0.42137095,0.47024387,0.6482652,0.42102343,0.68639904,0.58962744,0.453136,0.16275829,0.060941834,0.085408024,0.28627458,0.07561149,0.05287849,1.0,2018.0,3.0,3.1301,1.0,2018.0,3.0,50
0.5621298,0.44130215,0.26397404,0.3709333,0.6838793,0.5731423,0.6717582,0.48695648,0.4993998,0.010456673,0.42126763,0.22040622,0.5073862,0.4209201,0.6377248,0.60395783,0.43614146,0.1443918,0.06371189,0.09578147,0.5484735,0.14487012,0.07370876,1.0,2018.0,4.0,2.125,1.0,2018.0,4.0,51
0.54139096,0.38685125,0.19390203,0.3764555,0.6850825,0.5685063,0.63122386,0.48532993,0.0076718335,0.016237201,0.41905877,0.37743005,0.61960214,0.4187111,0.5895142,0.6293997,0.43102914,0.1217869,0.06509696,0.1026971,0.59605736,0.15748233,0.06897837,1.0,2019.0,1.0,1.8514,1.0,2019.0,1.0,52
0.519553,0.3252305,0.20183256,0.34005597,0.6849529,0.5430265,0.61493194,0.486553,0.0009394082,0.002289697,0.42324495,0.51733613,0.66476303,0.42289758,0.5925737,0.60796744,0.43520793,0.12743813,0.054016612,0.1026971,0.2621752,0.06936532,0.08084883,1.0,2019.0,2.0,2.1538,1.0,2019.0,2.0,53
0.52514386,0.2964783,0.18236281,0.24844743,0.6861743,0.54902124,0.58174676,0.48534876,3.078585e-05,0.007343101,0.42379725,0.52718353,0.66853064,0.4234499,0.5528926,0.57631505,0.4413739,0.12461252,0.055401642,0.09232365,0.32083935,0.08485587,0.064035006,1.0,2019.0,3.0,2.6701,1.0,2019.0,3.0,54
0.5305914,0.27344278,0.25717846,0.38192284,0.6872145,0.5325111,0.5267444,0.48242596,3.2069531e-06,0.0068418924,0.42382324,0.84719133,0.8402639,0.4234759,0.5133043,0.5500886,0.44368127,0.13874058,0.054016612,0.07157677,0.56400746,0.14894892,0.065763205,1.0,2019.0,4.0,3.1825,1.0,2019.0,4.0,55
0.5114295,0.27642116,0.31185946,0.38452062,0.68546724,0.5169425,0.58207643,0.4881583,0.0013145562,0.008004979,0.4398925,0.41196606,0.47317848,0.43954748,0.53759503,0.5549311,0.41317546,0.11613567,0.11495845,0.03526971,0.028699212,0.18419641,0.03314515,2.0,2013.0,1.0,-0.4,2.0,2013.0,1.0,56
0.55391073,0.32786107,0.37943056,0.3848435,0.68602204,0.5596282,0.6053044,0.48637453,0.0012861743,0.008772118,0.43821633,0.45925567,0.51400155,0.43786976,0.5928982,0.564185,0.42505434,0.11613567,0.11080332,0.02835408,0.0025338284,0.016408512,0.0064721955,2.0,2013.0,2.0,0.5,2.0,2013.0,2.0,57
0.5932859,0.33590403,0.3950703,0.38145897,0.6855493,0.62378347,0.70239174,0.48535648,0.0009764579,0.0112594515,0.4421334,0.43377706,0.47881588,0.44178733,0.6402281,0.60200006,0.4342935,0.1203741,0.108033225,0.024896266,0.006595676,0.04250394,0.015126652,2.0,2013.0,3.0,0.7,2.0,2013.0,3.0,58
0.62319964,0.4590634,0.41242346,0.3805647,0.6865373,0.6475377,0.6817804,0.48614272,0.0014328687,0.009308457,0.44079772,0.4449853,0.48955497,0.44045112,0.6399036,0.59874135,0.42399845,0.10907164,0.10526313,0.017980637,0.020741388,0.13438407,0.033152964,2.0,2013.0,4.0,1.5,2.0,2013.0,4.0,59
0.61388147,0.45310292,0.38588527,0.38286552,0.68707633,0.6290413,0.64132416,0.48917592,0.0015066734,0.0072203507,0.44436458,0.5788242,0.5798367,0.44401804,0.6718431,0.5917909,0.42716616,0.103420414,0.1038781,0.014522822,0.023620509,0.1519922,0.043379344,2.0,2014.0,1.0,2.9,2.0,2014.0,1.0,60
0.617322,0.384892,0.38180304,0.3804549,0.6863249,0.65122753,0.6968555,0.48587304,0.001144126,0.008929628,0.44741383,0.6504384,0.62244284,0.44706833,0.646857,0.5875111,0.43033385,0.097769186,0.10110801,0.013139696,0.0026286102,0.016936429,0.0060118893,2.0,2014.0,2.0,1.8,2.0,2014.0,2.0,61
0.5961053,0.3642487,0.28961924,0.37828073,0.68750787,0.5959863,0.58791083,0.5340683,0.0011876593,0.006557076,0.4410987,0.45027024,0.48603094,0.44075269,0.6005934,0.5489696,0.4221506,0.08929235,0.09972298,0.0089903185,0.0070926845,0.045525394,0.01048941,2.0,2014.0,3.0,1.8,2.0,2014.0,3.0,62
0.47363117,0.37274307,0.20898995,0.37861505,0.68614036,0.47276527,0.49670127,0.48669726,0.00089675986,0.0051582307,0.43459198,0.37673295,0.4573334,0.43424624,0.48581496,0.51788676,0.4224146,0.07375147,0.09695288,0.0062240665,0.0229083,0.15229988,0.036529012,2.0,2014.0,4.0,2.3,2.0,2014.0,4.0,63
0.34145662,0.3461581,0.22168225,0.37627676,0.6861461,0.33610362,0.34178537,0.4854482,0.0011205927,0.012769178,0.4265485,0.23868228,0.38738608,0.42620113,0.35059336,0.45633337,0.4342935,0.052559376,0.09141273,0.0062240665,0.027135182,0.17419185,0.034081314,2.0,2015.0,1.0,0.8,2.0,2015.0,1.0,64
0.34981906,0.40738168,0.20771402,0.37883037,0.68645734,0.3409966,0.3386823,0.4866183,0.0011595847,0.0072314274,0.4318464,0.16912265,0.30157757,0.43149963,0.35346746,0.44183356,0.43376553,0.094943576,0.08725761,0.0062240665,0.0,0.0,0.0,2.0,2015.0,2.0,1.6,2.0,2015.0,2.0,65
0.36166987,0.40309495,0.21967076,0.3818136,0.68624806,0.36285836,0.3651664,0.48596212,0.0012351325,0.009525419,0.43424124,0.29247525,0.3866765,0.43389454,0.40585017,0.48375258,0.44802022,0.08081551,0.08310248,0.0062240665,0.006600806,0.043134633,0.011580104,2.0,2015.0,3.0,1.5,2.0,2015.0,3.0,66
0.40792617,0.34180182,0.2419265,0.37959224,0.6859594,0.40949225,0.4307449,0.47929275,0.0010918065,0.01017985,0.4362909,0.25570682,0.3469465,0.43594414,0.44979602,0.49955648,0.45409167,0.07092586,0.08033238,0.0062240665,0.02110395,0.13559169,0.04033113,2.0,2015.0,4.0,1.1,2.0,2015.0,4.0,67
0.50182456,0.40258348,0.17687045,0.38131678,0.68653256,0.511784,0.5213905,0.48416114,0.0012181579,0.010050754,0.44737688,0.5364422,0.5221331,0.44703126,0.5458001,0.5693677,0.43930903,0.062449023,0.07617726,0.0055325036,0.023636455,0.1522779,0.032277215,2.0,2016.0,1.0,2.5,2.0,2016.0,1.0,68
0.5893675,0.34503546,0.19212066,0.38003448,0.68706036,0.60481536,0.6047268,0.48610476,0.0015897083,0.012588734,0.44035628,0.5754372,0.57992685,0.44001052,0.6015205,0.5919326,0.44010097,0.056797795,0.07063711,0.004149378,0.002684479,0.017426496,0.0060424968,2.0,2016.0,2.0,2.2,2.0,2016.0,2.0,69
0.5296357,0.36391962,0.24788849,0.37908995,0.6857313,0.5466475,0.6095261,0.4853684,0.0011423513,0.009998632,0.43650517,0.5811272,0.60796595,0.4361586,0.5618394,0.56494737,0.4255823,0.07092586,0.06509696,0.004149378,0.0070266486,0.046652026,0.011716427,2.0,2016.0,3.0,2.0,2.0,2016.0,3.0,70
0.5359434,0.38504815,0.2325289,0.38041356,0.68571085,0.5372757,0.6019084,0.487378,0.0015329028,0.0065262816,0.43772224,0.49793428,0.52997077,0.43737587,0.59187835,0.5602335,0.44036493,0.09070516,0.059556764,0.004149378,0.021664442,0.1390532,0.03131219,2.0,2016.0,4.0,1.9,2.0,2016.0,4.0,71
0.5996414,0.36429155,0.3222752,0.38535458,0.68590325,0.5903822,0.6524716,0.48700422,0.00096157147,0.006170978,0.4417868,0.46107948,0.4713565,0.4414405,0.65260524,0.5333547,0.44854817,0.11896129,0.058171738,0.004149378,0.028376687,0.18214528,0.035563115,2.0,2017.0,1.0,2.3,2.0,2017.0,1.0,72
0.54726857,0.44853756,0.3666839,0.37931198,0.6846581,0.54628396,0.6768571,0.48520628,0.00072589715,0.0069249584,0.4411995,0.59250915,0.581089,0.44085276,0.643334,0.5398607,0.4517159,0.11189725,0.054016612,0.004149378,0.0041780868,0.026816465,0.008253021,2.0,2017.0,2.0,2.7,2.0,2017.0,2.0,73
0.6984617,0.4953221,0.38156307,0.37902308,0.686418,0.6983067,0.74855584,0.5027489,0.0013577887,0.00895579,0.44402665,0.6741128,0.6301365,0.44368055,0.74953645,0.5760462,0.45409167,0.11896129,0.04986149,0.004149378,0.008615956,0.055306252,0.020813704,2.0,2017.0,3.0,3.2,2.0,2017.0,3.0,74
0.75422734,0.5185456,0.42822698,0.37915927,0.686701,0.7515074,0.79582703,0.4840477,0.0010341675,0.013300675,0.44635704,0.91072583,0.8086713,0.44601095,0.7981643,0.5846418,0.43561336,0.11331006,0.04709139,0.004149378,0.024102557,0.15468979,0.030356439,2.0,2017.0,4.0,3.8,2.0,2017.0,4.0,75
0.79818994,0.48002693,0.39412057,0.38120687,0.68743503,0.8489177,0.86848235,0.49749413,0.0025418827,0.014396236,0.4430037,0.84471697,0.77453125,0.4426577,0.8369646,0.60149837,0.4385171,0.10907164,0.04155124,0.004149378,0.02763826,0.1773821,0.03634466,2.0,2018.0,1.0,1.9,2.0,2018.0,1.0,76
