feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target_0,target_1,target_2,sample_id
-0.6099808,-0.5481672,1.3912727,-0.8028476,0.16114981,0.16339849,1.6157111,-2.4287107,-2.3083668,1.1300349,2.0323987,-2.7473195,-2.7095325,2.3169568,-0.27537367,0.2809415,1.0,-0.018436508,-3.2759168,1.0,-0.018436508,58
1.086377,-0.031041536,-0.43788496,-0.5956123,0.23264612,0.6827244,-0.46388367,-0.48244706,-0.049357265,0.032963842,-0.35646176,-1.3107922,-0.053374764,-0.63990337,-0.41029432,-0.5251823,2.0,-0.018436508,1.038551,2.0,-0.018436508,59
1.168824,-0.5193421,-1.0049062,0.79794544,0.1515556,0.617516,-0.8299553,0.49745828,-0.33773485,-0.4790993,-0.9653697,0.09020886,-0.264487,-0.5863427,0.19674481,-0.28973293,3.0,-0.018436508,2.0686896,3.0,-0.018436508,60
0.90987104,0.71583694,-0.5513992,-0.29991582,-0.2159025,0.15686762,-0.29192933,0.34844965,0.35019624,-0.6713645,-0.6626553,0.3152761,0.0974548,-0.13828155,-0.4159301,-0.3453284,4.0,-0.018436508,2.2299998,4.0,-0.018436508,61
-0.5853608,-0.2809886,-0.61638165,0.6081354,-0.80876935,-1.012151,-0.5750563,0.0038143825,0.06978902,3.0756333,-0.8895508,0.03586122,0.2113569,-0.6297369,-0.027694277,-0.2762089,5.0,-0.018436508,3.037774,5.0,-0.018436508,62
-0.5378336,-0.15315337,-0.64017,-0.5171723,-0.53627974,-0.72193176,-0.5186194,0.056140766,-0.21219352,0.76217073,-0.7634371,0.09443647,-0.19911906,-0.5339182,-0.17005137,-0.18722066,6.0,-0.018436508,1.0954643,6.0,-0.018436508,63
-0.3021232,-0.38502115,-0.35372543,-0.20464833,0.08845512,0.07705989,-0.11257848,0.25231683,0.39828086,-0.50518554,-0.49381965,0.57101023,0.653912,-0.16278934,-0.6393344,-0.27179536,7.0,-0.018436508,1.9210634,7.0,-0.018436508,64
-0.009655397,-0.6643738,0.77711797,-1.5927138,1.7119988,0.5639985,0.020904591,-0.9425178,1.0293269,-0.628129,0.32880312,0.4426862,1.2676017,-0.5032818,1.083995,-0.19006488,8.0,-0.018436508,5.033069,8.0,-0.018436508,65
-0.6171624,-0.3980234,-0.56633407,-0.4891161,-0.9869493,-1.423472,-0.34637883,0.24305347,-0.4707525,1.1561211,-0.854069,0.35048753,-0.43855542,1.5488639,-0.6807829,-0.57306707,9.0,-0.018436508,1.2934628,9.0,-0.018436508,66
-0.4581431,-0.08497881,-0.74511606,-0.56649226,-1.2657611,-1.2314143,-0.54750913,-0.7122728,-0.93565285,-0.9104883,-0.86493176,-0.19396865,-1.1904639,2.425811,-0.79671955,-0.08736365,10.0,-0.018436508,0.75382674,10.0,-0.018436508,67
0.9818468,0.8439744,-0.4074438,-0.33049816,-0.9055893,-0.5068485,-0.10659861,0.47663432,0.41858038,-0.785371,-0.50582266,0.84681004,0.16591534,-0.45524135,-0.43610716,0.6273686,11.0,-0.018436508,2.9468818,11.0,-0.018436508,68
0.084831774,0.0035337626,0.13258289,-0.11296593,0.6467753,0.6841568,1.0453162,-0.017849179,-0.09455206,-0.73633856,0.09872079,-0.30898413,-0.13335255,-0.602205,-0.8048605,-0.20345895,12.0,-0.018436508,1.7724932,12.0,-0.018436508,69
-3.2517507,-0.17231746,-0.469495,-0.55084896,0.050910912,-0.28797418,-0.5377334,-0.8624129,-0.427328,-0.21630463,-0.7198674,-1.81633,-0.49574986,-0.6513994,1.8521394,0.034201194,13.0,-0.018436508,2.1917138,13.0,-0.018436508,70
0.4979302,0.032563675,-0.56586534,1.7453163,-1.5795776,-1.218229,-0.64116687,0.95275325,0.54150856,-0.17886604,-1.0405768,-1.8798026,0.66243863,-0.53723043,0.059926555,-0.19739807,14.0,-0.018436508,2.9535089,14.0,-0.018436508,71
